poi_name,month,avg_visitors,congestion_score,annual_max,annual_min
(재)송암 스페이스 센터,1,2743.0,1.0,4587.0,4587.0
(재)송암 스페이스 센터,2,22.0,0.008,4587.0,4587.0
(재)송암 스페이스 센터,3,0.0,0.0,4587.0,4587.0
(재)송암 스페이스 센터,4,0.0,0.0,4587.0,4587.0
(재)송암 스페이스 센터,5,0.0,0.0,4587.0,4587.0
(재)송암 스페이스 센터,6,0.0,0.0,4587.0,4587.0
(재)송암 스페이스 센터,7,0.0,0.0,4587.0,4587.0
(재)송암 스페이스 센터,8,0.0,0.0,4587.0,4587.0
(재)송암 스페이스 센터,9,0.0,0.0,4587.0,4587.0
(재)송암 스페이스 센터,10,717.0,0.2614,4587.0,4587.0
(재)송암 스페이스 센터,11,1105.0,0.4028,4587.0,4587.0
(재)송암 스페이스센터,1,1171.5,0.2166,41477.0,9991.0
(재)송암 스페이스센터,2,845.2,0.1563,41477.0,9991.0
(재)송암 스페이스센터,3,654.5,0.121,41477.0,9991.0
(재)송암 스페이스센터,4,2683.8,0.4963,41477.0,9991.0
(재)송암 스페이스센터,5,3307.0,0.6116,41477.0,9991.0
(재)송암 스페이스센터,6,3413.5,0.6313,41477.0,9991.0
(재)송암 스페이스센터,7,2401.2,0.4441,41477.0,9991.0
(재)송암 스페이스센터,8,1893.0,0.3501,41477.0,9991.0
(재)송암 스페이스센터,9,3440.2,0.6362,41477.0,9991.0
(재)송암 스페이스센터,10,4875.5,0.9016,41477.0,9991.0
(재)송암 스페이스센터,11,5407.5,1.0,41477.0,9991.0
(주)미리내캠프,1,0.0,0.0,235.0,235.0
(주)미리내캠프,2,0.0,0.0,235.0,235.0
(주)미리내캠프,3,0.0,0.0,235.0,235.0
(주)미리내캠프,4,0.0,0.0,235.0,235.0
(주)미리내캠프,5,0.0,0.0,235.0,235.0
(주)미리내캠프,6,0.0,0.0,235.0,235.0
(주)미리내캠프,7,3.0,0.0132,235.0,235.0
(주)미리내캠프,8,227.0,1.0,235.0,235.0
(주)미리내캠프,9,5.0,0.022,235.0,235.0
(주)미리내캠프,10,0.0,0.0,235.0,235.0
(주)미리내캠프,11,0.0,0.0,235.0,235.0
1004 뮤지엄파크,1,549.0,0.148,26945.0,17799.0
1004 뮤지엄파크,2,492.0,0.1327,26945.0,17799.0
1004 뮤지엄파크,3,611.0,0.1647,26945.0,17799.0
1004 뮤지엄파크,4,1978.5,0.5334,26945.0,17799.0
