level,code,name,parent_code
1,AC,숙박,
2,AC01,호텔,AC
3,AC010100,호텔,AC01
2,AC02,콘도미니엄,AC
3,AC020100,콘도,AC02
3,AC020200,레지던스,AC02
2,AC03,펜션/민박,AC
3,AC030100,펜션,AC03
3,AC030200,한옥스테이,AC03
3,AC030300,농어촌민박,AC03
3,AC030400,홈스테이,AC03
2,AC04,모텔,AC
3,AC040100,모텔,AC04
2,AC05,캠핑,AC
3,AC050100,일반야영장,AC05
3,AC050200,오토캠핑장,AC05
3,AC050300,카라반,AC05
3,AC050400,글램핑장,AC05
2,AC06,호스텔,AC
3,AC060100,유스호스텔,AC06
3,AC060200,게스트하우스,AC06
1,C01,추천코스,
2,C0112,가족코스,C01
3,C01120001,가족코스,C0112
2,C0113,나홀로코스,C01
3,C01130001,나홀로코스,C0113
2,C0114,힐링코스,C01
3,C01140001,힐링코스,C0114
2,C0115,도보코스,C01
3,C01150001,도보코스,C0115
2,C0116,캠핑코스,C01
3,C01160001,캠핑코스,C0116
2,C0117,맛코스,C01
3,C01170001,맛코스,C0117
1,EV,축제/공연/행사,
2,EV01,축제,EV
3,EV010100,문화관광축제,EV01
3,EV010200,문화예술축제,EV01
3,EV010300,지역특산물축제,EV01
3,EV010400,전통역사축제,EV01
3,EV010500,생태자연축제,EV01
3,EV010600,기타축제,EV01
2,EV02,공연,EV
3,EV020100,전통공연,EV02
3,EV020200,연극,EV02
3,EV020300,뮤지컬,EV02
3,EV020400,오페라,EV02
3,EV020500,무용,EV02
3,EV020600,클래식음악회,EV02
3,EV020700,대중콘서트,EV02
3,EV020800,영화,EV02
3,EV020900,기타공연,EV02
3,EV021000,넌버벌,EV02
2,EV03,행사,EV
3,EV030100,전시회,EV03
3,EV030200,박람회,EV03
3,EV030300,스포츠경기,EV03
3,EV030400,기타행사,EV03
1,EX,체험관광,
2,EX01,전통체험,EX
3,EX010100,전통문화체험,EX01
2,EX02,공예체험,EX
3,EX020100,금속공예체험,EX02
3,EX020200,유리공예체험,EX02
3,EX020300,가죽공예체험,EX02
3,EX020400,기타공예체험,EX02
2,EX03,농.산.어촌 체험,EX
3,EX030100,체험마을,EX03
3,EX030200,체험목장,EX03
3,EX030300,체험농장,EX03
3,EX030400,체험어장,EX03
2,EX04,산사체험,EX
3,EX040100,템플스테이,EX04
3,EX040200,사찰문화체험,EX04
2,EX05,웰니스관광,EX
3,EX050100,온천 / 사우나 / 스파,EX05
3,EX050200,찜질방,EX05
3,EX050300,한방체험,EX05
3,EX050400,힐링명상,EX05
3,EX050500,뷰티스파,EX05
3,EX050600,기타웰니스,EX05
3,EX050700,자연치유,EX05
2,EX06,산업관광,EX
3,EX060100,근대산업유산,EX06
3,EX060200,게임 등 첨단IT산업,EX06
3,EX060300,전통/향토산업,EX06
3,EX060400,문화콘텐츠산업,EX06
3,EX060500,장수기업/산업테마거리,EX06
3,EX060600,자동차/조선/철강 등,EX06
3,EX060700,로봇/항공우주산업,EX06
3,EX060800,화장품/주류/먹거리,EX06
3,EX060900,친환경/신재생에너지,EX06
3,EX061000,기타산업관광지,EX06
2,EX07,기타체험,EX
3,EX070100,유람선/잠수함관광,EX07
3,EX070200,기타체험관광,EX07
1,FD,음식,
2,FD01,한식,FD
3,FD010100,관광식당,FD01
3,FD010200,모범음식점,FD01
2,FD02,외국식,FD
3,FD020100,중식,FD02
3,FD020200,일식,FD02
3,FD020300,서양식,FD02
3,FD020400,기타외국식,FD02
3,FD020500,퓨전음식,FD02
2,FD03,간이음식,FD
3,FD030100,제과,FD03
3,FD030200,"피자, 햄버거, 샌드위치 및 유사음식",FD03
3,FD030300,치킨,FD03
3,FD030400,김밥 분식,FD03
3,FD030500,이동음식,FD03
3,FD030600,기타간이음식,FD03
2,FD04,주점,FD
3,FD040100,바/펍,FD04
3,FD040200,생맥주전문점,FD04
3,FD040300,클럽,FD04
3,FD040400,전통주/민속주점,FD04
3,FD040500,기타주점,FD04
2,FD05,카페/ 찻집,FD
3,FD050100,카페,FD05
3,FD050200,찻집,FD05
3,FD050300,기타음료점,FD05
1,HS,역사관광,
2,HS01,역사유적지,HS
3,HS010100,고궁,HS01
3,HS010200,성ㆍ산성ㆍ성곽,HS01
3,HS010300,문,HS01
3,HS010400,고택,HS01
3,HS010500,생가,HS01
3,HS010600,민속마을,HS01
3,HS010700,사적지,HS01
3,HS010800,"고분, 능",HS01
3,HS010900,사당,HS01
3,HS011000,선사유적지,HS01
3,HS011100,근대건축물,HS01
3,HS011200,기타역사유적지,HS01
2,HS02,역사유물,HS
3,HS020100,탑ㆍ비석ㆍ기념탑,HS02
3,HS020200,선사유물,HS02
3,HS020300,불상,HS02
3,HS020400,기타역사유물,HS02
2,HS03,종교성지,HS
3,HS030100,불교,HS03
3,HS030200,기독교,HS03
3,HS030300,이슬람,HS03
3,HS030400,기타 종교성지,HS03
2,HS04,안보관광지,HS
3,HS040100,안보유적지,HS04
3,HS040200,안보관광시설,HS04
3,HS040300,북한관광지,HS04
3,HS040400,기타안보관광지,HS04
1,LS,레저스포츠,
