level,code,name,parent_code,full_code
1,11,서울특별시,,11
2,110,종로구,11,11110
2,140,중구,11,11140
2,170,용산구,11,11170
2,200,성동구,11,11200
2,215,광진구,11,11215
2,230,동대문구,11,11230
2,260,중랑구,11,11260
2,290,성북구,11,11290
2,305,강북구,11,11305
2,320,도봉구,11,11320
2,350,노원구,11,11350
2,380,은평구,11,11380
2,410,서대문구,11,11410
2,440,마포구,11,11440
2,470,양천구,11,11470
2,500,강서구,11,11500
2,530,구로구,11,11530
2,545,금천구,11,11545
2,560,영등포구,11,11560
2,590,동작구,11,11590
2,620,관악구,11,11620
2,650,서초구,11,11650
2,680,강남구,11,11680
2,710,송파구,11,11710
2,740,강동구,11,11740
1,26,부산광역시,,26
2,110,중구,26,26110
2,140,서구,26,26140
2,170,동구,26,26170
2,200,영도구,26,26200
2,230,부산진구,26,26230
2,260,동래구,26,26260
2,290,남구,26,26290
2,320,북구,26,26320
2,350,해운대구,26,26350
2,380,사하구,26,26380
2,410,금정구,26,26410
2,440,강서구,26,26440
2,470,연제구,26,26470
2,500,수영구,26,26500
2,530,사상구,26,26530
2,710,기장군,26,26710
1,27,대구광역시,,27
2,110,중구,27,27110
2,140,동구,27,27140
2,170,서구,27,27170
2,200,남구,27,27200
2,230,북구,27,27230
2,260,수성구,27,27260
2,290,달서구,27,27290
2,710,달성군,27,27710
2,720,군위군,27,27720
1,28,인천광역시,,28
2,110,중구,28,28110
2,140,동구,28,28140
2,177,미추홀구,28,28177
2,185,연수구,28,28185
2,200,남동구,28,28200
2,237,부평구,28,28237
2,245,계양구,28,28245
2,260,서구,28,28260
2,710,강화군,28,28710
2,720,옹진군,28,28720
1,29,광주광역시,,29
2,110,동구,29,29110
2,140,서구,29,29140
2,155,남구,29,29155
2,170,북구,29,29170
2,200,광산구,29,29200
1,30,대전광역시,,30
2,110,동구,30,30110
2,140,중구,30,30140
2,170,서구,30,30170
2,200,유성구,30,30200
2,230,대덕구,30,30230
1,31,울산광역시,,31
2,110,중구,31,31110
2,140,남구,31,31140
2,170,동구,31,31170
2,200,북구,31,31200
2,710,울주군,31,31710
1,41,경기도,,41
2,110,수원시,41,41110
2,111,수원시 장안구,41,41111
2,113,수원시 권선구,41,41113
2,115,수원시 팔달구,41,41115
2,117,수원시 영통구,41,41117
2,130,성남시,41,41130
2,131,성남시 수정구,41,41131
2,133,성남시 중원구,41,41133
2,135,성남시 분당구,41,41135
2,150,의정부시,41,41150
2,170,안양시,41,41170
2,171,안양시 만안구,41,41171
2,173,안양시 동안구,41,41173
2,190,부천시,41,41190
2,192,부천시 원미구,41,41192
2,194,부천시 소사구,41,41194
2,196,부천시 오정구,41,41196
2,210,광명시,41,41210
2,220,평택시,41,41220
2,250,동두천시,41,41250
2,270,안산시,41,41270
2,271,안산시 상록구,41,41271
2,273,안산시 단원구,41,41273
2,280,고양시,41,41280
2,281,고양시 덕양구,41,41281
2,285,고양시 일산동구,41,41285
2,287,고양시 일산서구,41,41287
2,290,과천시,41,41290
2,310,구리시,41,41310
2,360,남양주시,41,41360
2,370,오산시,41,41370
2,390,시흥시,41,41390
2,410,군포시,41,41410
2,430,의왕시,41,41430
2,450,하남시,41,41450
2,460,용인시,41,41460
2,461,용인시 처인구,41,41461
