issue_type,source,place_name,lat,lon,region,duration,day,poi_type,visit_order,note
GEOCODING_FAIL,geocache,강화 달빛 동화마을,,,인천,1박 2일,1,attraction,3,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
PARSE_BUG,geocache,"개미집 본점, 송도1913",,,부산,1박 2일,2,food,2,파싱 버그 — 쉼표/슬래시로 두 장소가 하나로 합쳐짐
GEOCODING_FAIL,geocache,고고대패삼겹살,,,울산,2박 3일,3,food,4,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,고사리 커피,,,제주,2박 3일,2,food,4,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,광주항교,,,경기,당일여행,1,attraction,1,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,까루리웰빙손칼국수,,,대구,1박 2일,2,food,4,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
PARSE_BUG,geocache,"단양장(1, 6일) / 단양구경시장",,,충북,당일여행,1,attraction,1,파싱 버그 — 쉼표/슬래시로 두 장소가 하나로 합쳐짐
GEOCODING_FAIL,geocache,더 스케이 힐링 파크,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,동북해녀식당,,,제주,1박 2일,1,food,4,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,몽상 드 애월,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,백령사(가평),,,경기,1박 2일,1,attraction,1,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,별채반 교동 쌈밥,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,부소담약(추소정),,,충북,당일여행,1,attraction,4,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,분노엘 성수점,,,서울,2박 3일,1,food,3,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,산두리 해안사구,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,아 라 파파 연동 점,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,영량호,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,오후의 선택,,,충남,2박 3일,1,food,2,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,외양포함,,,부산,1박 2일,1,attraction,3,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,용인토종순대국,,,충남,2박 3일,3,food,2,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,우무 본점,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,인천 타이나 타운,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
PARSE_BUG,geocache,"지질박물관, 대전드림아레나",,,대전,1박 2일,1,attraction,1,파싱 버그 — 쉼표/슬래시로 두 장소가 하나로 합쳐짐
GEOCODING_FAIL,geocache,참진주면욕&금돼지집,,,경남,2박 3일,1,food,2,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,카페 델문도 함덕 점,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,태백 칡 냉면,,,충남,2박 3일,3,food,4,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,포레스트 하웃팅스 송도 점,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,한옥 카페 드리우니,,,,,,,,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
GEOCODING_FAIL,geocache,호텔계룡,,,충남,2박 3일,3,attraction,1,좌표 없음 — TourAPI/Kakao/Nominatim 모두 실패
EXTREME_DISPERSION,analysis,,,,전남,2박 3일,2,,,max_dist=268.4km | coverage=4/4 | backtrack=0
EXTREME_DISPERSION,analysis,,,,전남,2박 3일,3,,,max_dist=261.57km | coverage=2/2 | backtrack=0
EXTREME_DISPERSION,analysis,,,,서울,2박 3일,3,,,max_dist=309.4km | coverage=4/4 | backtrack=1
EXTREME_DISPERSION,analysis,,,,강원,당일여행,1,,,max_dist=219.58km | coverage=1/3 | backtrack=0
EXTREME_DISPERSION,analysis,,,,제주,당일여행,1,,,max_dist=288.57km | coverage=3/3 | backtrack=1
EXTREME_DISPERSION,analysis,,,,부산,2박 3일,1,,,max_dist=259.48km | coverage=4/4 | backtrack=1
EXTREME_DISPERSION,analysis,,,,경남,2박 3일,2,,,max_dist=231.8km | coverage=4/4 | backtrack=0
EXTREME_DISPERSION,analysis,,,,대구,1박 2일,2,,,max_dist=238.22km | coverage=0/2 | backtrack=0
EXTREME_DISPERSION,analysis,,,,,당일치기,3,,,max_dist=300.56km | coverage=0/2 | backtrack=0
EXTREME_DISPERSION,analysis,,,,,1박 2일,1,,,max_dist=205.17km | coverage=7/9 | backtrack=3
ROUTE_ZERO,analysis,,,,경남,1박 2일,1,,,경로 산출 0건 | coverage=0/2 | geo_hit=3/4
ROUTE_ZERO,analysis,,,,대전,1박 2일,1,,,경로 산출 0건 | coverage=0/3 | geo_hit=4/4
ROUTE_ZERO,analysis,,,,대전,1박 2일,2,,,경로 산출 0건 | coverage=0/3 | geo_hit=4/4
